Player,Nationality,Height,born,Age
Jaidon Anthony,England,183,12/1/1999,23
Neco Williams,Wales,183,4/13/2001,22
Emerson Royal,Brazil,183,1/14/1999,24
David Raya,Spain,183,9/15/1995,27
Jeremy Sarmiento,Ecuador,183,6/16/2002,21
Wilfred Ndidi,Nigeria,183,12/16/1996,26
Diogo Dalot,Portugal,183,3/18/1999,24
Matt Targett,England,183,9/18/1995,27
Harry Toffolo,England,183,8/19/1995,27
Evan Ferguson,Ireland,183,10/19/2004,18
Boubacar Traoré,Mali,183,8/20/2001,21
Joe Aribo,Nigeria,183,7/21/1996,27
Dwight McNeil,England,183,11/22/1999,23
James Justin,England,183,2/23/1998,25
Ezri Konsa,England,183,10/23/1997,25
Luke Ayling,England,183,8/25/1991,31
Junior Stanislas,England,183,11/26/1989,33
Aaron Wan-Bissaka,England,183,11/26/1997,25
Kevin Schade,Germany,183,11/27/2001,21
Demarai Gray,Jamaica,183,6/28/1996,27
Weston McKennie,United States,183,8/28/1998,24
Naouirou Ahamada,France,183,3/29/2002,21
Stuart Armstrong,Scotland,183,3/30/1992,31
Sékou Mara,France,183,7/30/2002,21
Carlos Alcaraz,Argentina,183,11/30/2002,20
Rodrigo,Spain,182,3/6/1991,32
Jordan Ayew,Ghana,182,9/11/1991,31
Jairo Riedewald,Netherlands,182,9/9/1996,26
Conor Gallagher,England,182,2/6/2000,23
Cole Palmer,England,182,5/6/2002,21
Noni Madueke,England,182,3/10/2002,21
Marc Guéhi,England,182,7/13/2000,23
Christian Eriksen,Denmark,182,2/14/1992,31
Bruno Guimarães,Brazil,182,11/16/1997,25
Calum Chambers,England,182,1/20/1995,28
Georginio Rutter,France,182,4/20/2002,21
Anthony Gordon,England,182,2/24/2001,22
Emile Smith Rowe,England,182,7/28/2000,23
Yves Bissouma,Mali,182,8/30/1996,26
Roberto Firmino,Brazil,181,10/2/1991,31
Anthony Martial,France,181,12/5/1995,27
Bertrand Traoré,Burkina Faso,181,9/6/1995,27
Mason Mount,England,181,1/10/1999,24
João Félix,Portugal,181,11/10/1999,23
Luke Thomas,England,181,6/10/2001,22
Roméo Lavia,Belgium,181,1/6/2004,19
Dennis Praet,Belgium,181,5/14/1994,29
Remo Freuler,Switzerland,181,4/15/1992,31
Pascal Groß,Germany,181,6/15/1991,32
Victor Kristiansen,Denmark,181,12/16/2002,20
Ben Chilwell,England,181,12/21/1996,26
Thiago Silva,Brazil,181,9/22/1984,38
Ben Davies,Wales,181,4/24/1993,30
Harrison Reed,England,181,1/27/1995,28
Kevin De Bruyne,Belgium,181,6/28/1991,32
Sean Longstaff,England,181,10/30/1997,25
Wilfried Zaha,Cote D’Ivoire,180,11/10/1992,30
Kenny Tete,Netherlands,180,10/9/1995,27
Mathias Jensen,Denmark,180,1/1/1996,27
Jack Stacey,England,180,4/6/1996,27
Kieran Tierney,Scotland,180,6/5/1997,26
Matías Viña,Uruguay,180,11/9/1997,25
Trent Alexander-Arnold,England,180,10/7/1998,24
Mikkel Damsgaard,Denmark,180,7/3/2000,23
Cheick Doucouré,Mali,180,1/8/2000,23
Rayan Aït-Nouri,Algeria,180,6/6/2001,22
Alejandro Garnacho,Argentina,180,7/1/2004,19
Luis Díaz,Colombia,180,1/13/1997,26
Rúben Neves,Portugal,180,3/13/1997,26
Enzo Fernández,Argentina,180,1/17/2001,22
Nathan Aké,Netherlands,180,2/18/1995,28
Hugo Bueno,Spain,180,9/18/2002,20
Hakim Ziyech,Morocco,180,3/19/1993,30
Solly March,England,180,7/20/1994,29
Ben Mee,England,180,9/21/1989,33
Ilkay Gündogan,Germany,180,10/24/1990,32
Jadon Sancho,England,180,3/25/2000,23
Sam Greenwood,England,180,1/26/2002,21
Callum Wilson,England,180,2/27/1992,31
João Cancelo,Portugal,180,5/27/1994,29
Lucas Paquetá,Brazil,180,8/27/1997,25
Michail Antonio,Jamaica,180,3/28/1990,33
Jacob Ramsey,England,180,5/28/2001,22
Adam Smith,England,180,4/29/1991,32
Vitalii Mykolenko,Ukraine,180,5/29/1999,24
