Player,Salary
Thomas Strakosha,1300000
Tim Ream,1560000
Timothy Castagne,3276000
Tom Cairney,2080000
Tom Heaton,2180000
Tomas Soucek,3500000
Tosin Adarabioyo,2110000
Trent Alexander-Arnold,9360000
Trevoh Chalobah,2600000
Tyler Adams,2860000
Tyrell Malacia,3900000
Tyrick Mitchell,1456000
Tyrone Mings,4160000
Victor Lindelof,6240000
Virgil Van Dijk,11440000
Vitaliy Mykolenko,3016000
Vladimir Coufal,1600000
Wesley Fofana,10400000
Wesley Moraes,1820000
Wilfried Gnonto,1040000
Will Hughes,2860000
Will Smallbone,900000
William Saliba,2080000
William Troost-Ekong,1430000
Willy Boly,2080000
Wout Faes,2600000
Yoane Wissa,1300000
Yves Bissouma,2860000
